,Unnamed: 0,label,url,brand,name,skin_type,price,concern,img,cs
0,0,face-moisturizer,https://www.sephora.com/product/the-dewy-skin-cream-P441101?skuId=2785434&icid2=products%20grid:p441101:product,tatcha,the dewy skin cream plumping & hydrating refillable moisturizer,normal,$72.00 ,"dryness, dullness,fine lines & wrinkles,",https://www.sephora.com/productimages/sku/s2785434-main-zoom.jpg?pb=clean-at-sephora&imwidth=175,0.36514837167011077
0,0,face-moisturizer,https://www.sephora.com/product/the-dewy-skin-cream-P441101?skuId=2785434&icid2=products%20grid:p441101:product,tatcha,the dewy skin cream plumping & hydrating refillable moisturizer,dry,$72.00 ,"dryness, dullness,fine lines & wrinkles,",https://www.sephora.com/productimages/sku/s2785434-main-zoom.jpg?pb=clean-at-sephora&imwidth=175,0.4082482904638631
1,1,face-moisturizer,https://www.sephora.com/product/glow-recipe-plum-plump-hyaluronic-acid-moisturizer-P479327?skuId=2535128&icid2=products%20grid:p479327:product,glow recipe,plum plump refillable hyaluronic acid moisturizer,normal,$40.00 ,"dryness, dullness,loss of firmness,elasticity",https://www.sephora.com/productimages/sku/s2535128-main-zoom.jpg?pb=clean-planet-aware&imwidth=175,0.18257418583505539
1,1,face-moisturizer,https://www.sephora.com/product/glow-recipe-plum-plump-hyaluronic-acid-moisturizer-P479327?skuId=2535128&icid2=products%20grid:p479327:product,glow recipe,plum plump refillable hyaluronic acid moisturizer,dry,$40.00 ,"dryness, dullness,loss of firmness,elasticity",https://www.sephora.com/productimages/sku/s2535128-main-zoom.jpg?pb=clean-planet-aware&imwidth=175,0.20412414523193154
1,1,face-moisturizer,https://www.sephora.com/product/glow-recipe-plum-plump-hyaluronic-acid-moisturizer-P479327?skuId=2535128&icid2=products%20grid:p479327:product,glow recipe,plum plump refillable hyaluronic acid moisturizer,combination,$40.00 ,"dryness, dullness,loss of firmness,elasticity",https://www.sephora.com/productimages/sku/s2535128-main-zoom.jpg?pb=clean-planet-aware&imwidth=175,0.1543033499620919
1,1,face-moisturizer,https://www.sephora.com/product/glow-recipe-plum-plump-hyaluronic-acid-moisturizer-P479327?skuId=2535128&icid2=products%20grid:p479327:product,glow recipe,plum plump refillable hyaluronic acid moisturizer,oily,$40.00 ,"dryness, dullness,loss of firmness,elasticity",https://www.sephora.com/productimages/sku/s2535128-main-zoom.jpg?pb=clean-planet-aware&imwidth=175,0.18257418583505539
2,2,face-moisturizer,https://www.sephora.com/product/drunk-elephant-lala-retro-whipped-moisturizer-with-ceramides-P446938?skuId=2233849&icid2=products%20grid:p446938:product,drunk elephant,lala retro™ nourishing whipped refillable moisturizer,normal,$64.00 ,"dryness, fine lines,wrinkles,loss of firmness,elasticity",https://www.sephora.com/productimages/sku/s2233849-main-zoom.jpg?pb=clean-at-sephora&imwidth=175,0.3333333333333334
2,2,face-moisturizer,https://www.sephora.com/product/drunk-elephant-lala-retro-whipped-moisturizer-with-ceramides-P446938?skuId=2233849&icid2=products%20grid:p446938:product,drunk elephant,lala retro™ nourishing whipped refillable moisturizer,dry,$64.00 ,"dryness, fine lines,wrinkles,loss of firmness,elasticity",https://www.sephora.com/productimages/sku/s2233849-main-zoom.jpg?pb=clean-at-sephora&imwidth=175,0.36514837167011077
2,2,face-moisturizer,https://www.sephora.com/product/drunk-elephant-lala-retro-whipped-moisturizer-with-ceramides-P446938?skuId=2233849&icid2=products%20grid:p446938:product,drunk elephant,lala retro™ nourishing whipped refillable moisturizer,combination,$64.00 ,"dryness, fine lines,wrinkles,loss of firmness,elasticity",https://www.sephora.com/productimages/sku/s2233849-main-zoom.jpg?pb=clean-at-sephora&imwidth=175,0.2886751345948129
2,2,face-moisturizer,https://www.sephora.com/product/drunk-elephant-lala-retro-whipped-moisturizer-with-ceramides-P446938?skuId=2233849&icid2=products%20grid:p446938:product,drunk elephant,lala retro™ nourishing whipped refillable moisturizer,oily,$64.00 ,"dryness, fine lines,wrinkles,loss of firmness,elasticity",https://www.sephora.com/productimages/sku/s2233849-main-zoom.jpg?pb=clean-at-sephora&imwidth=175,0.3333333333333334
3,3,face-moisturizer,https://www.sephora.com/product/kale-spinach-hyaluronic-acid-age-prevention-cream-P411388?skuId=1863604&icid2=products%20grid:p411388:product,youth to the people,superfood air-whip lightweight face moisturizer with hyaluronic acid,normal,$48.00 ,"fine lines,wrinkles, dryness,loss of firmness,elasticity",https://www.sephora.com/productimages/sku/s1863604-main-zoom.jpg?pb=allure-best-2020&imwidth=175,0.3333333333333334
3,3,face-moisturizer,https://www.sephora.com/product/kale-spinach-hyaluronic-acid-age-prevention-cream-P411388?skuId=1863604&icid2=products%20grid:p411388:product,youth to the people,superfood air-whip lightweight face moisturizer with hyaluronic acid,combination,$48.00 ,"fine lines,wrinkles, dryness,loss of firmness,elasticity",https://www.sephora.com/productimages/sku/s1863604-main-zoom.jpg?pb=allure-best-2020&imwidth=175,0.2886751345948129
3,3,face-moisturizer,https://www.sephora.com/product/kale-spinach-hyaluronic-acid-age-prevention-cream-P411388?skuId=1863604&icid2=products%20grid:p411388:product,youth to the people,superfood air-whip lightweight face moisturizer with hyaluronic acid,oily,$48.00 ,"fine lines,wrinkles, dryness,loss of firmness,elasticity",https://www.sephora.com/productimages/sku/s1863604-main-zoom.jpg?pb=allure-best-2020&imwidth=175,0.3333333333333334
4,4,face-moisturizer,https://www.sephora.com/product/clarins-multi-active-day-moisturizer-for-lines-pores-glow-P510263?icid2=products%20grid:p510263:product,clarins,"multi-active day moisturizer for lines, pores, glow with niacinamide ",normal,$59.00 ,"fine lines,wrinkles, pores,dullness,",https://www.sephora.com/productimages/sku/s2736452-main-zoom.jpg?imwidth=175,0.18257418583505539
4,4,face-moisturizer,https://www.sephora.com/product/clarins-multi-active-day-moisturizer-for-lines-pores-glow-P510263?icid2=products%20grid:p510263:product,clarins,"multi-active day moisturizer for lines, pores, glow with niacinamide ",dry,$59.00 ,"fine lines,wrinkles, pores,dullness,",https://www.sephora.com/productimages/sku/s2736452-main-zoom.jpg?imwidth=175,0.36514837167011077
4,4,face-moisturizer,https://www.sephora.com/product/clarins-multi-active-day-moisturizer-for-lines-pores-glow-P510263?icid2=products%20grid:p510263:product,clarins,"multi-active day moisturizer for lines, pores, glow with niacinamide ",combination,$59.00 ,"fine lines,wrinkles, pores,dullness,",https://www.sephora.com/productimages/sku/s2736452-main-zoom.jpg?imwidth=175,0.2886751345948129
4,4,face-moisturizer,https://www.sephora.com/product/clarins-multi-active-day-moisturizer-for-lines-pores-glow-P510263?icid2=products%20grid:p510263:product,clarins,"multi-active day moisturizer for lines, pores, glow with niacinamide ",oily,$59.00 ,"fine lines,wrinkles, pores,dullness,",https://www.sephora.com/productimages/sku/s2736452-main-zoom.jpg?imwidth=175,0.18257418583505539
5,5,face-moisturizer,https://www.sephora.com/product/elemis-superfood-overnight-prebiotic-cream-P510511?icid2=products%20grid:p510511:product,elemis,superfood overnight prebiotic cream,normal,$58.00 ,"dryness, redness,uneven texture,",https://www.sephora.com/productimages/sku/s2759082-main-zoom.jpg?imwidth=612,0.4082482904638631
5,5,face-moisturizer,https://www.sephora.com/product/elemis-superfood-overnight-prebiotic-cream-P510511?icid2=products%20grid:p510511:product,elemis,superfood overnight prebiotic cream,dry,$58.00 ,"dryness, redness,uneven texture,",https://www.sephora.com/productimages/sku/s2759082-main-zoom.jpg?imwidth=612,0.4714045207910318
5,5,face-moisturizer,https://www.sephora.com/product/elemis-superfood-overnight-prebiotic-cream-P510511?icid2=products%20grid:p510511:product,elemis,superfood overnight prebiotic cream,combination,$58.00 ,"dryness, redness,uneven texture,",https://www.sephora.com/productimages/sku/s2759082-main-zoom.jpg?imwidth=612,0.3333333333333334
5,5,face-moisturizer,https://www.sephora.com/product/elemis-superfood-overnight-prebiotic-cream-P510511?icid2=products%20grid:p510511:product,elemis,superfood overnight prebiotic cream,oily,$58.00 ,"dryness, redness,uneven texture,",https://www.sephora.com/productimages/sku/s2759082-main-zoom.jpg?imwidth=612,0.4082482904638631
6,6,face-moisturizer,https://www.sephora.com/product/ultra-facial-cream-P421996?skuId=2663763&icid2=products%20grid:p421996:product,kiehl's since 1851,ultra facial refillable moisturizing cream with squalane,normal,$39.00 ,"dryness,dullness,,,",https://www.sephora.com/productimages/sku/s2663763-main-zoom.jpg?imwidth=175,0.2357022603955159
6,6,face-moisturizer,https://www.sephora.com/product/ultra-facial-cream-P421996?skuId=2663763&icid2=products%20grid:p421996:product,kiehl's since 1851,ultra facial refillable moisturizing cream with squalane,dry,$39.00 ,"dryness,dullness,,,",https://www.sephora.com/productimages/sku/s2663763-main-zoom.jpg?imwidth=175,0.2886751345948129
6,6,face-moisturizer,https://www.sephora.com/product/ultra-facial-cream-P421996?skuId=2663763&icid2=products%20grid:p421996:product,kiehl's since 1851,ultra facial refillable moisturizing cream with squalane,combination,$39.00 ,"dryness,dullness,,,",https://www.sephora.com/productimages/sku/s2663763-main-zoom.jpg?imwidth=175,0.18257418583505539
6,6,face-moisturizer,https://www.sephora.com/product/ultra-facial-cream-P421996?skuId=2663763&icid2=products%20grid:p421996:product,kiehl's since 1851,ultra facial refillable moisturizing cream with squalane,oily,$39.00 ,"dryness,dullness,,,",https://www.sephora.com/productimages/sku/s2663763-main-zoom.jpg?imwidth=175,0.2357022603955159
7,7,face-moisturizer,https://www.sephora.com/product/protini-tm-polypeptide-cream-P427421?skuId=2025633&icid2=products%20grid:p427421:product,drunk elephant,protini™ polypeptide firming refillable moisturizer,normal,$69.00 ,"dryness, dullness,uneven texture,loss of firmness,elasticity",https://www.sephora.com/productimages/sku/s2025633-main-zoom.jpg?pb=clean-at-sephora&imwidth=175,0.1666666666666667
7,7,face-moisturizer,https://www.sephora.com/product/protini-tm-polypeptide-cream-P427421?skuId=2025633&icid2=products%20grid:p427421:product,drunk elephant,protini™ polypeptide firming refillable moisturizer,dry,$69.00 ,"dryness, dullness,uneven texture,loss of firmness,elasticity",https://www.sephora.com/productimages/sku/s2025633-main-zoom.jpg?pb=clean-at-sephora&imwidth=175,0.18257418583505539
7,7,face-moisturizer,https://www.sephora.com/product/protini-tm-polypeptide-cream-P427421?skuId=2025633&icid2=products%20grid:p427421:product,drunk elephant,protini™ polypeptide firming refillable moisturizer,combination,$69.00 ,"dryness, dullness,uneven texture,loss of firmness,elasticity",https://www.sephora.com/productimages/sku/s2025633-main-zoom.jpg?pb=clean-at-sephora&imwidth=175,0.14433756729740646
7,7,face-moisturizer,https://www.sephora.com/product/protini-tm-polypeptide-cream-P427421?skuId=2025633&icid2=products%20grid:p427421:product,drunk elephant,protini™ polypeptide firming refillable moisturizer,oily,$69.00 ,"dryness, dullness,uneven texture,loss of firmness,elasticity",https://www.sephora.com/productimages/sku/s2025633-main-zoom.jpg?pb=clean-at-sephora&imwidth=175,0.1666666666666667
8,8,face-moisturizer,https://www.sephora.com/product/farmacy-honey-halo-ultra-hydrating-ceramide-moisturizer-P463036?skuId=2369957&icid2=products%20grid:p463036:product,farmacy,honey halo ultra-hydrating ceramide moisturizer,normal,$48.00 ,"fine lines,wrinkles, dryness,loss of firmness,elasticity",https://www.sephora.com/productimages/sku/s2369957-main-zoom.jpg?pb=clean-at-sephora&imwidth=175,0.3333333333333334
8,8,face-moisturizer,https://www.sephora.com/product/farmacy-honey-halo-ultra-hydrating-ceramide-moisturizer-P463036?skuId=2369957&icid2=products%20grid:p463036:product,farmacy,honey halo ultra-hydrating ceramide moisturizer,dry,$48.00 ,"fine lines,wrinkles, dryness,loss of firmness,elasticity",https://www.sephora.com/productimages/sku/s2369957-main-zoom.jpg?pb=clean-at-sephora&imwidth=175,0.36514837167011077
9,9,face-moisturizer,https://www.sephora.com/product/skinfix-barrier-strengthening-and-moisturizing-triple-lipid-peptide-refillable-cream-with-b-l3-P442840?skuId=2742369&icid2=products%20grid:p442840:product,skinfix,barrier+ strengthening and moisturizing triple lipid-peptide refillable cream with b-l3,normal,$54.00 ,"fine lines,wrinkles, dryness,loss of firmness,elasticity",https://www.sephora.com/productimages/sku/s2742369-main-zoom.jpg?pb=clean-planet-aware&imwidth=175,0.3333333333333334
9,9,face-moisturizer,https://www.sephora.com/product/skinfix-barrier-strengthening-and-moisturizing-triple-lipid-peptide-refillable-cream-with-b-l3-P442840?skuId=2742369&icid2=products%20grid:p442840:product,skinfix,barrier+ strengthening and moisturizing triple lipid-peptide refillable cream with b-l3,dry,$54.00 ,"fine lines,wrinkles, dryness,loss of firmness,elasticity",https://www.sephora.com/productimages/sku/s2742369-main-zoom.jpg?pb=clean-planet-aware&imwidth=175,0.36514837167011077
9,9,face-moisturizer,https://www.sephora.com/product/skinfix-barrier-strengthening-and-moisturizing-triple-lipid-peptide-refillable-cream-with-b-l3-P442840?skuId=2742369&icid2=products%20grid:p442840:product,skinfix,barrier+ strengthening and moisturizing triple lipid-peptide refillable cream with b-l3,combination,$54.00 ,"fine lines,wrinkles, dryness,loss of firmness,elasticity",https://www.sephora.com/productimages/sku/s2742369-main-zoom.jpg?pb=clean-planet-aware&imwidth=175,0.2886751345948129
10,10,face-moisturizer,https://www.sephora.com/product/fenty-skin-hydra-vizor-moisturizer-broad-spectrum-spf-30-sunscreen-P467249?icid2=products%20grid:p467249:product,fenty skin,hydra vizor refillable invisible face moisturizer spf 30 with niacinamide,normal,$40.00 ,"dark spots, pores,dryness,",https://www.sephora.com/productimages/sku/s2418879-main-zoom.jpg?pb=clean-at-sephora&imwidth=175,0.20412414523193154
10,10,face-moisturizer,https://www.sephora.com/product/fenty-skin-hydra-vizor-moisturizer-broad-spectrum-spf-30-sunscreen-P467249?icid2=products%20grid:p467249:product,fenty skin,hydra vizor refillable invisible face moisturizer spf 30 with niacinamide,dry,$40.00 ,"dark spots, pores,dryness,",https://www.sephora.com/productimages/sku/s2418879-main-zoom.jpg?pb=clean-at-sephora&imwidth=175,0.2357022603955159
10,10,face-moisturizer,https://www.sephora.com/product/fenty-skin-hydra-vizor-moisturizer-broad-spectrum-spf-30-sunscreen-P467249?icid2=products%20grid:p467249:product,fenty skin,hydra vizor refillable invisible face moisturizer spf 30 with niacinamide,combination,$40.00 ,"dark spots, pores,dryness,",https://www.sephora.com/productimages/sku/s2418879-main-zoom.jpg?pb=clean-at-sephora&imwidth=175,0.1666666666666667
10,10,face-moisturizer,https://www.sephora.com/product/fenty-skin-hydra-vizor-moisturizer-broad-spectrum-spf-30-sunscreen-P467249?icid2=products%20grid:p467249:product,fenty skin,hydra vizor refillable invisible face moisturizer spf 30 with niacinamide,oily,$40.00 ,"dark spots, pores,dryness,",https://www.sephora.com/productimages/sku/s2418879-main-zoom.jpg?pb=clean-at-sephora&imwidth=175,0.20412414523193154
11,11,face-moisturizer,https://www.sephora.com/product/the-inkey-list-omega-water-cream-moisturizer-P479354?skuId=2530756&icid2=products%20grid:p479354:product,the inkey list,omega water cream oil-free moisturizer + niacinamide,normal,$12.00 ,"dryness,uneven texture,oiliness,",https://www.sephora.com/productimages/sku/s2530756-main-zoom.jpg?pb=clean-at-sephora&imwidth=175,0.4082482904638631
