Unnamed: 0,label_x,url,brand,name,skin_type,price,concern,cs,label_y,img
0,face-moisturizer,https://www.sephora.com/product/the-dewy-skin-cream-P441101?skuId=2785434&icid2=products%20grid:p441101:product,tatcha,the dewy skin cream plumping & hydrating refillable moisturizer,normal,$72.00 ,"dryness, dullness,fine lines & wrinkles,",0.4082482904638631,face-moisturizer,https://www.sephora.com/productimages/sku/s2785434-main-zoom.jpg?pb=clean-at-sephora&imwidth=175
0,face-moisturizer,https://www.sephora.com/product/the-dewy-skin-cream-P441101?skuId=2785434&icid2=products%20grid:p441101:product,tatcha,the dewy skin cream plumping & hydrating refillable moisturizer,dry,$72.00 ,"dryness, dullness,fine lines & wrinkles,",0.4082482904638631,face-moisturizer,https://www.sephora.com/productimages/sku/s2785434-main-zoom.jpg?pb=clean-at-sephora&imwidth=175
1,face-moisturizer,https://www.sephora.com/product/glow-recipe-plum-plump-hyaluronic-acid-moisturizer-P479327?skuId=2535128&icid2=products%20grid:p479327:product,glow recipe,plum plump refillable hyaluronic acid moisturizer,normal,$40.00 ,"dryness, dullness,loss of firmness,elasticity",0.2041241452319315,face-moisturizer,https://www.sephora.com/productimages/sku/s2535128-main-zoom.jpg?pb=clean-planet-aware&imwidth=175
1,face-moisturizer,https://www.sephora.com/product/glow-recipe-plum-plump-hyaluronic-acid-moisturizer-P479327?skuId=2535128&icid2=products%20grid:p479327:product,glow recipe,plum plump refillable hyaluronic acid moisturizer,dry,$40.00 ,"dryness, dullness,loss of firmness,elasticity",0.2041241452319315,face-moisturizer,https://www.sephora.com/productimages/sku/s2535128-main-zoom.jpg?pb=clean-planet-aware&imwidth=175
1,face-moisturizer,https://www.sephora.com/product/glow-recipe-plum-plump-hyaluronic-acid-moisturizer-P479327?skuId=2535128&icid2=products%20grid:p479327:product,glow recipe,plum plump refillable hyaluronic acid moisturizer,combination,$40.00 ,"dryness, dullness,loss of firmness,elasticity",0.2041241452319315,face-moisturizer,https://www.sephora.com/productimages/sku/s2535128-main-zoom.jpg?pb=clean-planet-aware&imwidth=175
1,face-moisturizer,https://www.sephora.com/product/glow-recipe-plum-plump-hyaluronic-acid-moisturizer-P479327?skuId=2535128&icid2=products%20grid:p479327:product,glow recipe,plum plump refillable hyaluronic acid moisturizer,oily,$40.00 ,"dryness, dullness,loss of firmness,elasticity",0.2041241452319315,face-moisturizer,https://www.sephora.com/productimages/sku/s2535128-main-zoom.jpg?pb=clean-planet-aware&imwidth=175
2,face-moisturizer,https://www.sephora.com/product/drunk-elephant-lala-retro-whipped-moisturizer-with-ceramides-P446938?skuId=2233849&icid2=products%20grid:p446938:product,drunk elephant,lala retro™ nourishing whipped refillable moisturizer,normal,$64.00 ,"dryness, fine lines,wrinkles,loss of firmness,elasticity",0.3651483716701107,face-moisturizer,https://www.sephora.com/productimages/sku/s2233849-main-zoom.jpg?pb=clean-at-sephora&imwidth=175
2,face-moisturizer,https://www.sephora.com/product/drunk-elephant-lala-retro-whipped-moisturizer-with-ceramides-P446938?skuId=2233849&icid2=products%20grid:p446938:product,drunk elephant,lala retro™ nourishing whipped refillable moisturizer,dry,$64.00 ,"dryness, fine lines,wrinkles,loss of firmness,elasticity",0.3651483716701107,face-moisturizer,https://www.sephora.com/productimages/sku/s2233849-main-zoom.jpg?pb=clean-at-sephora&imwidth=175
2,face-moisturizer,https://www.sephora.com/product/drunk-elephant-lala-retro-whipped-moisturizer-with-ceramides-P446938?skuId=2233849&icid2=products%20grid:p446938:product,drunk elephant,lala retro™ nourishing whipped refillable moisturizer,combination,$64.00 ,"dryness, fine lines,wrinkles,loss of firmness,elasticity",0.3651483716701107,face-moisturizer,https://www.sephora.com/productimages/sku/s2233849-main-zoom.jpg?pb=clean-at-sephora&imwidth=175
2,face-moisturizer,https://www.sephora.com/product/drunk-elephant-lala-retro-whipped-moisturizer-with-ceramides-P446938?skuId=2233849&icid2=products%20grid:p446938:product,drunk elephant,lala retro™ nourishing whipped refillable moisturizer,oily,$64.00 ,"dryness, fine lines,wrinkles,loss of firmness,elasticity",0.3651483716701107,face-moisturizer,https://www.sephora.com/productimages/sku/s2233849-main-zoom.jpg?pb=clean-at-sephora&imwidth=175
3,face-moisturizer,https://www.sephora.com/product/kale-spinach-hyaluronic-acid-age-prevention-cream-P411388?skuId=1863604&icid2=products%20grid:p411388:product,youth to the people,superfood air-whip lightweight face moisturizer with hyaluronic acid,normal,$48.00 ,"fine lines,wrinkles, dryness,loss of firmness,elasticity",0.3651483716701107,face-moisturizer,https://www.sephora.com/productimages/sku/s1863604-main-zoom.jpg?pb=allure-best-2020&imwidth=175
3,face-moisturizer,https://www.sephora.com/product/kale-spinach-hyaluronic-acid-age-prevention-cream-P411388?skuId=1863604&icid2=products%20grid:p411388:product,youth to the people,superfood air-whip lightweight face moisturizer with hyaluronic acid,combination,$48.00 ,"fine lines,wrinkles, dryness,loss of firmness,elasticity",0.3651483716701107,face-moisturizer,https://www.sephora.com/productimages/sku/s1863604-main-zoom.jpg?pb=allure-best-2020&imwidth=175
3,face-moisturizer,https://www.sephora.com/product/kale-spinach-hyaluronic-acid-age-prevention-cream-P411388?skuId=1863604&icid2=products%20grid:p411388:product,youth to the people,superfood air-whip lightweight face moisturizer with hyaluronic acid,oily,$48.00 ,"fine lines,wrinkles, dryness,loss of firmness,elasticity",0.3651483716701107,face-moisturizer,https://www.sephora.com/productimages/sku/s1863604-main-zoom.jpg?pb=allure-best-2020&imwidth=175
4,face-moisturizer,https://www.sephora.com/product/clarins-multi-active-day-moisturizer-for-lines-pores-glow-P510263?icid2=products%20grid:p510263:product,clarins,"multi-active day moisturizer for lines, pores, glow with niacinamide ",normal,$59.00 ,"fine lines,wrinkles, pores,dullness,",0.2041241452319315,face-moisturizer,https://www.sephora.com/productimages/sku/s2736452-main-zoom.jpg?imwidth=175
4,face-moisturizer,https://www.sephora.com/product/clarins-multi-active-day-moisturizer-for-lines-pores-glow-P510263?icid2=products%20grid:p510263:product,clarins,"multi-active day moisturizer for lines, pores, glow with niacinamide ",dry,$59.00 ,"fine lines,wrinkles, pores,dullness,",0.2041241452319315,face-moisturizer,https://www.sephora.com/productimages/sku/s2736452-main-zoom.jpg?imwidth=175
4,face-moisturizer,https://www.sephora.com/product/clarins-multi-active-day-moisturizer-for-lines-pores-glow-P510263?icid2=products%20grid:p510263:product,clarins,"multi-active day moisturizer for lines, pores, glow with niacinamide ",combination,$59.00 ,"fine lines,wrinkles, pores,dullness,",0.2041241452319315,face-moisturizer,https://www.sephora.com/productimages/sku/s2736452-main-zoom.jpg?imwidth=175
4,face-moisturizer,https://www.sephora.com/product/clarins-multi-active-day-moisturizer-for-lines-pores-glow-P510263?icid2=products%20grid:p510263:product,clarins,"multi-active day moisturizer for lines, pores, glow with niacinamide ",oily,$59.00 ,"fine lines,wrinkles, pores,dullness,",0.2041241452319315,face-moisturizer,https://www.sephora.com/productimages/sku/s2736452-main-zoom.jpg?imwidth=175
5,face-moisturizer,https://www.sephora.com/product/elemis-superfood-overnight-prebiotic-cream-P510511?icid2=products%20grid:p510511:product,elemis,superfood overnight prebiotic cream,normal,$58.00 ,"dryness, redness,uneven texture,",0.4714045207910318,,
5,face-moisturizer,https://www.sephora.com/product/elemis-superfood-overnight-prebiotic-cream-P510511?icid2=products%20grid:p510511:product,elemis,superfood overnight prebiotic cream,dry,$58.00 ,"dryness, redness,uneven texture,",0.4714045207910318,,
5,face-moisturizer,https://www.sephora.com/product/elemis-superfood-overnight-prebiotic-cream-P510511?icid2=products%20grid:p510511:product,elemis,superfood overnight prebiotic cream,combination,$58.00 ,"dryness, redness,uneven texture,",0.4714045207910318,,
5,face-moisturizer,https://www.sephora.com/product/elemis-superfood-overnight-prebiotic-cream-P510511?icid2=products%20grid:p510511:product,elemis,superfood overnight prebiotic cream,oily,$58.00 ,"dryness, redness,uneven texture,",0.4714045207910318,,
6,face-moisturizer,https://www.sephora.com/product/ultra-facial-cream-P421996?skuId=2663763&icid2=products%20grid:p421996:product,kiehl's since 1851,ultra facial refillable moisturizing cream with squalane,normal,$39.00 ,"dryness,dullness,,,",0.2886751345948129,face-moisturizer,https://www.sephora.com/productimages/sku/s2663763-main-zoom.jpg?imwidth=175
6,face-moisturizer,https://www.sephora.com/product/ultra-facial-cream-P421996?skuId=2663763&icid2=products%20grid:p421996:product,kiehl's since 1851,ultra facial refillable moisturizing cream with squalane,dry,$39.00 ,"dryness,dullness,,,",0.2886751345948129,face-moisturizer,https://www.sephora.com/productimages/sku/s2663763-main-zoom.jpg?imwidth=175
